VARI,NOME,DESDE,TAM,F,CATEG,quesito,categorias,categorias_dict
V1,IDENTIFICAÇÃO,1,10,N,,IDENTIFICAÇÃO,,
V151,"REGIÃO GEOGRAFICA
1- REGIÃO I – RJ
2- REGIÃO II – SP
3- REGIÃO III – PR, SC e RS
4- REGIÃO IV – MG e ES
5- REGIÃO V - MA, PI, CE, N, PR, AL, SE e BA
6- REGIÃO VI – DF
7- REGIÃO VII - RO, AC, AM, RR, PA, MT e GO",1,1,N,7.0,REGIÃO GEOGRAFICA,"1- REGIÃO I – RJ
2- REGIÃO II – SP
3- REGIÃO III – PR, SC e RS
4- REGIÃO IV – MG e ES
5- REGIÃO V - MA, PI, CE, N, PR, AL, SE e BA
6- REGIÃO VI – DF
7- REGIÃO VII - RO, AC, AM, RR, PA, MT e GO","{1: 'REGIÃO I – RJ', 2: 'REGIÃO II – SP', 3: 'REGIÃO III – PR, SC e RS', 4: 'REGIÃO IV – MG e ES', 5: 'REGIÃO V – MA, PI, CE, N, PR, AL, SE e BA', 6: 'REGIÃO VI – DF', 7: 'REGIÃO VII – RO, AC, AM, RR, PA, MT e GO'}"
V6,"UNIDADE DA FEDERAÇÃO
VER VARIAVEIS AUXILIARES",1,2,N,25.0,UNIDADE DA FEDERAÇÃO,VER VARIAVEIS AUXILIARES,"{'11': 'RIO DE JANEIRO', '21': 'SÃO PAULO', '31': 'PARANÁ', '32': 'SANTA CATARINA', '33': 'RIO GRANDE DO SUL', '41': 'MINAS GERAIS', '43': 'ESPÍRITO SANTO', '51': 'MARANHÃO', '52': 'PIAUÍ', '53': 'CEARÁ', '54': 'RIO GRANDE DO NORTE', '55': 'PARAÍBA', '56': 'PERNAMBUCO', '57': 'ALAGOAS', '58': 'SERGIPE', '59': 'BAHIA', '61': 'DISTRITO FEDERAL', '71': 'RONDÔNIA', '72': 'ACRE', '73': 'AMAZONAS', '74': 'RORAIMA', '75': 'PARÁ', '76': 'AMAPÁ', '77': 'MATO GROSSO', '78': 'GOIÁS'}"
V1971,"TIPO DE AREA
1- AREA METROPOLITANA
2- AUTO REPRESENTATIVA
3- NÃO AUTO REPRESENTATIVA",11,1,N,3.0,TIPO DE AREA,"1- AREA METROPOLITANA
2- AUTO REPRESENTATIVA
3- NÃO AUTO REPRESENTATIVA","{1: 'AREA METROPOLITANA', 2: 'AUTO REPRESENTATIVA', 3: 'NÃO AUTO REPRESENTATIVA'}"
V2,"TIPO DE REGISTRO
1- TIPO DOMICILIO
2- TIPO PESSOA
3- TIPO FALECIMENTO",12,1,N,3.0,TIPO DE REGISTRO,"1- TIPO DOMICILIO
2- TIPO PESSOA
3- TIPO FALECIMENTO","{1: 'TIPO DOMICILIO', 2: 'TIPO PESSOA', 3: 'TIPO FALECIMENTO'}"
V1152,"SITUAÇÃO DO DOMICÍLIO
1- URBANO
2- RURAL",13,1,N,2.0,SITUAÇÃO DO DOMICÍLIO,"1- URBANO
2- RURAL","{1: 'URBANO', 2: 'RURAL'}"
V1105,TOTAL DE PESSOAS,14,2,N,,TOTAL DE PESSOAS,,
V1106,TOTAL DE PESSOAS COM MAIS DE 10 ANOS,16,2,N,,TOTAL DE PESSOAS COM MAIS DE 10 ANOS,,
V1107,TOTAL DE FALECIMENTOS,18,1,N,,TOTAL DE FALECIMENTOS,,
V1108,"ESPECIE DO DOMICILIO
 - NÃO APLICAVEL
1- PERMANENTE PARTICULAR
2- IMPROVISADO PARTICULAR
3- PERMANENTE COLETIVO
4- IMPROVISADO COLETIVO",19,1,N,5.0,ESPECIE DO DOMICILIO," - NÃO APLICAVEL
1- PERMANENTE PARTICULAR
2- IMPROVISADO PARTICULAR
3- PERMANENTE COLETIVO
4- IMPROVISADO COLETIVO","{1: 'PERMANENTE PARTICULAR', 2: 'IMPROVISADO PARTICULAR', 3: 'PERMANENTE COLETIVO', 4: 'IMPROVISADO COLETIVO', '': 'NÃO APLICAVEL'}"
