VARI,NOME,DESDE,TAM,F,CATEG,quesito,categorias,categorias_dict
V3,IDENTIFICAÇÃO,1,10,N,,IDENTIFICAÇÃO,,{}
V1,"REGIÃO GEOGRAFICA
1- REGIÃO I – RJ
2- REGIÃO II – SP
3- REGIÃO III – PR, SC e RS
4- REGIÃO IV – MG e ES
5- REGIÃO V - MA, PI, CE, N, PR, AL, SE e BA
6- REGIÃO VI – DF
7- REGIÃO VII - RO, AC, AM, RR, PA, MT e GO",1,1,N,7.0,REGIÃO GEOGRAFICA,"1- REGIÃO I – RJ
2- REGIÃO II – SP
3- REGIÃO III – PR, SC e RS
4- REGIÃO IV – MG e ES
5- REGIÃO V - MA, PI, CE, N, PR, AL, SE e BA
6- REGIÃO VI – DF
7- REGIÃO VII - RO, AC, AM, RR, PA, MT e GO","{1: 'REGIÃO I – RJ', 2: 'REGIÃO II – SP', 3: 'REGIÃO III – PR, SC e RS', 4: 'REGIÃO IV – MG e ES', 5: 'REGIÃO V – MA, PI, CE, N, PR, AL, SE e BA', 6: 'REGIÃO VI – DF', 7: 'REGIÃO VII – RO, AC, AM, RR, PA, MT e GO'}"
V2,"UNIDADE DA FEDERAÇÃO
VER VARIAVEIS AUXILIARES",1,2,N,25.0,UNIDADE DA FEDERAÇÃO,VER VARIAVEIS AUXILIARES,"{'11': 'RIO DE JANEIRO', '21': 'SÃO PAULO', '31': 'PARANA', '32': 'SANTA CATARINA', '33': 'RIO GRANDE DO SUL', '41': 'MINAS GERAIS', '43': 'ESPIRITO SANTO', '51': 'MARANHÃO', '52': 'PIAUI', '53': 'CEARA', '54': 'RIO GRANDE DO NORTE', '55': 'PARAIBA', '56': 'PERNAMBUCO', '57': 'ALAGOAS', '58': 'SERGIPE', '59': 'BAHIA', '61': 'DISTRITO FEDERAL', '71': 'RONDONIA', '72': 'ACRE', '73': 'AMAZONAS', '74': 'RORAIMA', '75': 'PARA', '76': 'AMAPA', '77': 'MATO GROSSO', '78': 'GOIAS'}"
V178,"TIPO DE AREA
 - NÃO APLICAVEL
1- AREA METROPOLITANA
2- AUTO REPRESENTATIVA
3- NÃO AUTO REPRESENTATIVA",11,1,N,4.0,TIPO DE AREA," - NÃO APLICAVEL
1- AREA METROPOLITANA
2- AUTO REPRESENTATIVA
3- NÃO AUTO REPRESENTATIVA","{1: 'AREA METROPOLITANA', 2: 'AUTO REPRESENTATIVA', 3: 'NÃO AUTO REPRESENTATIVA', '': 'NÃO APLICAVEL'}"
V6,"SITUAÇÃO
1- URBANA
2- RURAL",12,1,N,2.0,SITUAÇÃO,"1- URBANA
2- RURAL","{1: 'URBANA', 2: 'RURAL'}"
V12,"ESPECIE DO DOMICILIO
 - NÃO APLICAVEL
1- PARTICULAR
2- COLETIVO
3- IMPROVISADO",13,1,N,4.0,ESPECIE DO DOMICILIO," - NÃO APLICAVEL
1- PARTICULAR
2- COLETIVO
3- IMPROVISADO","{1: 'PARTICULAR', 2: 'COLETIVO', 3: 'IMPROVISADO', '': 'NÃO APLICAVEL'}"
V13,TOTAL DE PESSOAS,14,2,N,,TOTAL DE PESSOAS,,
V14,TOTAL DE PESSOAS COM MAIS DE 10 ANOS,16,2,N,,TOTAL DE PESSOAS COM MAIS DE 10 ANOS,,
V16,"SEXO
 - NÃO APLICAVEL
1- HOMEM
2- MULHER",18,1,N,3.0,SEXO," - NÃO APLICAVEL
1- HOMEM
2- MULHER","{1: 'HOMEM', 2: 'MULHER', '': 'NÃO APLICAVEL'}"
V17,"CONDIÇÃO DE PRESENÇA
 - NÃO APLICAVEL
1– MORADOR
2- MORADOR AUSENTE
3- NÃO MORADOR PRESENTE",19,1,N,4.0,CONDIÇÃO DE PRESENÇA," - NÃO APLICAVEL
1– MORADOR
2- MORADOR AUSENTE
3- NÃO MORADOR PRESENTE","{1: 'MORADOR', 2: 'MORADOR AUSENTE', 3: 'NÃO MORADOR PRESENTE', '': 'NÃO APLICAVEL'}"
V18,"CONDIÇÃO DE PRESENÇA NO DOMICILIO
VER VARIAVEIS AUXILIARES",20,2,N,40.0,CONDIÇÃO DE PRESENÇA NO DOMICILIO,VER VARIAVEIS AUXILIARES,"{'': 'NÃO APLICAVEL', '1': 'CHEFE', '2': 'CONJUGE', '3': 'FILHO OU ENTEADO', '4': 'FILHO ADOTIVO', '5': 'GENRO OU NORA', '6': 'NETO', '7': 'PAIS OU SOGROS', '8': 'AVO', '9': 'IRMÃO', '10': 'CUNHADO', '11': 'PRIMO', '12': 'TIO', '13': 'SOBRINHO', '14': 'AGREGADO', '15': 'PENSIONISTA OU HOSPEDE', '16': 'EMPREGADO DOMESTICO', '17': 'CONJUGE DO EMPREGADO DOMESTICO', '18': 'FILHO DO EMPREGADO DOMESTICO', '19': 'PARENTE DO EMPREGADO DOMESTICO', '20': 'INDIVIDUAL DOMICILIO COLETIVO', '21': 'CHEFE NÃO MORADOR', '22': 'CONJUGE NÃO MORADOR', '23': 'FILHO OU ENTEADO NÃO MORADOR', '24': 'FILHO ADOTIVO NÃO MORADOR', '25': 'GENRO E NORA NÃO MORADOR', '26': 'NETO NÃO MORADOR', '27': 'PAIS OU SOGROS NÃO MORADORES', '28': 'AVO NÃO MORADOR', '29': 'IRMÃO NÃO MORADOR', '30': 'CUNHADO NÃO MORADOR', '31': 'PRIMO NÃO MORADOR', '32': 'TIO NÃO MORADOR', '33': 'SOBRINHO NÃO MORADOR', '34': 'AGREGADO NÃO MORADOR', '35': 'HOSPEDES OU PENSIONISTAS NÃO MORADORES', '36': 'EMPREGADO DOMESTICO NÃO MORADOR', '37': 'CONJUGE DO EMPREGADO DOMESTICO NÃO MORADOR', '38': 'FILHO DO EMPREGADO DOMESTICO NÃO MORADOR', '39': 'OUTRO PARENTE E DOMICILIO NÃO MORADOR'}"
V19,"CONDIÇÃO NA FAMILIA
VER VARIAVEIS AUXILIARES",22,2,N,37.0,CONDIÇÃO NA FAMILIA,VER VARIAVEIS AUXILIARES,"{'': 'NÃO APLICAVEL', '1': 'CHEFE', '2': 'CONJUGE', '3': 'FILHO OU ENTEADO', '4': 'FILHO ADOTIVO', '5': 'GENRO OU NORA', '6': 'NETO', '7': 'PAIS OU SOGROS', '8': 'AvÔ(Ó)', '9': 'IRMÃO', '10': 'CUNHADO', '11': 'PRIMO', '12': 'TIO', '13': 'SOBRINHO', '14': 'AGREGADO', '15': 'PENSIONISTA OU HOSPEDE', '16': 'EMPREGADO DOMESTICO', '20': 'INDIVIDUAL DOMICILIO COLETIVO', '21': 'CHEFE NÃO MORADOR', '22': 'CONJUGE NÃO MORADOR', '23': 'FILHO OU ENTEADO NÃO MORADOR', '24': 'FILHO ADOTIVO NÃO MORADOR', '25': 'GENRO E NORA NÃO MORADOR', '26': 'NETO NÃO MORADOR', '27': 'PAIS OU SOGROS NÃO MORADORES', '28': 'AVÔ(Ó) NÃO MORADOR', '29': 'IRMÃO NÃO MORADOR', '30': 'CUNHADO NÃO MORADOR', '31': 'PRIMO NÃO MORADOR', '32': 'TIO NÃO MORADOR', '33': 'SOBRINHO NÃO MORADOR', '34': 'AGREGADO NÃO MORADOR', '35': 'HOSPEDES OU PENSIONISTAS NÃO MORADORES', '36': 'EMPREGADO DOMESTICO NÃO MORADOR', '37': 'CONJUGE DO EMPREGADO DOMESTICO NÃO MORADOR', '38': 'FILHO DO EMPREGADO DOMESTICO NÃO MORADOR', '39': 'OUTRO PARENTE E DOMICILIO NÃO MORADOR'}"
V20,"NUMERO DA FAMILIA
 - NÃO APLICAVEL
0- CADA COMPONENTE DO GRUPO
1- UNICA FAMILIA RESIDENTE
2- PRIMEIRA CONVIVENTE SECUNDARIA
3- SEGUNDA CONVIVENTE SECUNDARIA
4- CONVIVENTE PRINCIPAL",24,1,N,6.0,NUMERO DA FAMILIA," - NÃO APLICAVEL
0- CADA COMPONENTE DO GRUPO
1- UNICA FAMILIA RESIDENTE
2- PRIMEIRA CONVIVENTE SECUNDARIA
3- SEGUNDA CONVIVENTE SECUNDARIA
4- CONVIVENTE PRINCIPAL","{0: 'CADA COMPONENTE DO GRUPO', 1: 'UNICA FAMILIA RESIDENTE', 2: 'PRIMEIRA CONVIVENTE SECUNDARIA', 3: 'SEGUNDA CONVIVENTE SECUNDARIA', 4: 'CONVIVENTE PRINCIPAL', '': 'NÃO APLICAVEL'}"
V21,"MES DE NASCIMENTO
 - NÃO APLICAVEL
 1- JANEIRO
 2- FEVEREIRO
 3- MARÇO
 4- ABRIL
 5- MAIO
 6- JUNHO
 7- JULHO
 8- AGOSTO
 9- SETEMBRO
10- OUTUBRO
11- NOVEMBRO
12- DEZEMBRO
20- IDADE PRESUMIDA
99- IGNORADA",25,2,N,15.0,MES DE NASCIMENTO," - NÃO APLICAVEL
 1- JANEIRO
 2- FEVEREIRO
 3- MARÇO
 4- ABRIL
 5- MAIO
 6- JUNHO
 7- JULHO
 8- AGOSTO
 9- SETEMBRO
10- OUTUBRO
11- NOVEMBRO
12- DEZEMBRO
20- IDADE PRESUMIDA
99- IGNORADA","{1: 'JANEIRO', 2: 'FEVEREIRO', 3: 'MARÇO', 4: 'ABRIL', 5: 'MAIO', 6: 'JUNHO', 7: 'JULHO', 8: 'AGOSTO', 9: 'SETEMBRO', 10: 'OUTUBRO', 11: 'NOVEMBRO', 12: 'DEZEMBRO', 20: 'IDADE PRESUMIDA', 99: 'IGNORADA', '': 'NÃO APLICAVEL'}"
V22,ANO DE NASCIMENTO,27,3,N,,ANO DE NASCIMENTO,,
V23,"TEM MÃE VIVA?
 - NÃO APLICAVEL
1– SIM
2- NÃO
3- NÃO SABE
9- IGNORADO",30,1,N,5.0,TEM MÃE VIVA?," - NÃO APLICAVEL
1– SIM
2- NÃO
3- NÃO SABE
9- IGNORADO","{1: 'SIM', 2: 'NÃO', 3: 'NÃO SABE', 9: 'IGNORADO', '': 'NÃO APLICAVEL'}"
V24,"LUGAR DE NASCIMENTO
 - NÃO MORADOR PRESENTE
0- NÃO NATURAL DO MUNICIPIO
1- CIDADE
2- VILA
3- ZONA RURAL",31,1,N,5.0,LUGAR DE NASCIMENTO," - NÃO MORADOR PRESENTE
0- NÃO NATURAL DO MUNICIPIO
1- CIDADE
2- VILA
3- ZONA RURAL","{0: 'NÃO NATURAL DO MUNICIPIO', 1: 'CIDADE', 2: 'VILA', 3: 'ZONA RURAL', '': 'NÃO MORADOR PRESENTE'}"
V25,TEMPO DE MORADIA NA SITUAÇÃO ATUAL,32,2,N,,TEMPO DE MORADIA NA SITUAÇÃO ATUAL,,
