VARI,quesito,DESDE,TAM,categorias_dict
V0101,Ano de referência,1,4,{}
UF,Unidade da Federação,5,2,"{11: 'Rondônia', 12: 'Acre', 13: 'Amazonas', 14: 'Roraima', 15: 'Pará', 16: 'Amapá', 17: 'Tocantins', 21: 'Maranhão', 22: 'Piauí', 23: 'Ceará', 24: 'Rio Grande do Norte', 25: 'Paraíba', 26: 'Pernambuco', 27: 'Alagoas', 28: 'Sergipe', 29: 'Bahia', 31: 'Minas Gerais', 32: 'Espírito Santo', 33: 'Rio de Janeiro', 35: 'São Paulo', 41: 'Paraná', 42: 'Santa Catarina', 43: 'Rio Grande do Sul', 50: 'Mato Grosso do Sul', 51: 'Mato Grosso', 52: 'Goiás', 53: 'Distrito Federal'}"
V0102,Número de controle,5,8,{}
V0103,Número de série,13,3,{}
V0301,Número de ordem,16,2,{}
V0302,Sexo,18,1,"{2: 'Masculino', 4: 'Feminino'}"
V3031,Dia de nascimento,19,2,"{0: 'Em caso de idade presumida ou estimada', 99: 'Sem declaração'}"
V3032,Mês de nascimento,21,2,"{20: 'Em caso de idade presumida ou estimada', 99: 'Sem declaração'}"
V3033,Ano de nascimento,23,4,{9999: 'Sem declaração'}
V8005,Idade do morador na data de referência,27,3,{999: 'Idade ignorada'}
V0401,Condição na unidade domiciliar,30,1,"{1: 'Pessoa de referência', 2: 'Cônjuge', 3: 'Filho', 4: 'Outro parente', 5: 'Agregado', 6: 'Pensionista', 7: 'Empregado doméstico', 8: 'Parente do empregado doméstico'}"
V0402,Condição na família,31,1,"{1: 'Pessoa de referência', 2: 'Cônjuge', 3: 'Filho', 4: 'Outro parente', 5: 'Agregado', 6: 'Pensionista', 7: 'Empregado doméstico', 8: 'Parente do empregado doméstico'}"
V0403,Número da família,32,1,{}
V0404,Cor ou raça,33,1,"{2: 'Branca', 4: 'Preta', 6: 'Amarela', 8: 'Parda', 0: 'Indígena', 9: 'Sem declaração'}"
V0405,Tem mãe viva,34,1,"{1: 'Sim', 3: 'Não', 5: 'Não sabe', 9: 'Sem declaração'}"
V0406,Mãe mora no domicílio,35,1,"{2: 'Sim', 4: 'Não', 9: 'Sem declaração'}"
V0407,Número de ordem da mãe ,36,2,{}
V0408,Tem registro de nascimento,38,1,"{2: 'Sim', 4: 'Não', 6: 'Não sabe', 9: 'Sem declaração'}"
V0501,Nasceu no município de residência,39,1,"{0: 'Parte ignorada', 1: 'Sim', 3: 'Não ', 9: 'Sem declaração'}"
V0502,Nasceu na Unidade da Federação de residência,40,1,"{2: 'Sim', 4: 'Não ', 9: 'Sem declaração'}"
V5030,Lugar de nascimento,41,2,"{11: 'Rondônia', 12: 'Acre', 13: 'Amazonas', 14: 'Roraima', 15: 'Pará', 16: 'Amapá', 17: 'Tocantins', 21: 'Maranhão', 22: 'Piauí', 23: 'Ceará', 24: 'Rio Grande do Norte', 25: 'Paraíba', 26: 'Pernambuco', 27: 'Alagoas', 28: 'Sergipe', 29: 'Bahia', 31: 'Minas Gerais', 32: 'Espírito Santo', 33: 'Rio de Janeiro', 35: 'São Paulo', 41: 'Paraná', 42: 'Santa Catarina', 43: 'Rio Grande do Sul', 50: 'Mato Grosso do Sul', 51: 'Mato Grosso', 52: 'Goiás', 53: 'Distrito Federal', 88: 'Brasil', 98: 'Países estrangeiros', 99: 'Sem declaração'}"
V0504,Morou em outra Unidade da Federação ou país estrangeiro,43,1,"{2: 'Sim', 4: 'Não', 9: 'Sem declaração'}"
V0505,Morava na Unidade da Federação na data de referência ,44,1,"{1: 'Sim', 3: 'Não', 9: 'Sem declaração'}"
V5061,"Código 2 - na data de referência, tinha até 4 anos ininterruptos de residência na Unidade da Federação",45,1,"{2: 'Sim, até 4 anos'}"
V5062,"Tempo de residência na Unidade da Federação 
(até 4 anos)",46,1,"{0: 'Menos de 1 ano', 1: '1 ano', 2: '2 anos', 3: '3 anos', 4: '4 anos', 8: 'Sem declaração na faixa', 9: 'Sem declaração no quesito 6'}"
V5063,"Código 4 - na data de referência, tinha de 5 e 9 anos ininterruptos de residência na Unidade da Federação",47,1,"{4: 'Sim, de 5 e 9 anos'}"
V5064,Tempo de residência na Unidade da Federação (de 5 a 9 anos),48,1,"{0: 'Sem declaração na faixa', 5: '5 anos', 6: '6 anos', 7: '7 anos', 8: '8 anos', 9: '9 anos'}"
V5065,"Código 6 - na data de referência, tinha 10 anos ou mais de residência na Unidade da Federação",49,1,"{6: 'Sim, 10 anos ou mais'}"
V0507,Morava na Unidade da Federação há 5 anos da data de referência,50,1,"{1: 'Sim', 3: 'Não', 5: 'Não era nascido', 9: 'Sem declaração'}"
V5080,Lugar de residência há 5 anos da data de referência,51,2,{}
V5090,Lugar de residência anterior,53,2,{}
V0510,Morava no município na data de referência,55,1,"{2: 'Sim', 4: 'Não', 9: 'Sem declaração'}"
V0511,Morou em outro município na Unidade da Federação,56,1,"{1: 'Sim', 3: 'Não', 9: 'Sem declaração'}"
V5121,"Código 2 - na data de referência, tinha até 4 anos ininterruptos de residência no município",57,1,"{2: 'Sim, até 4 anos'}"
V5122,Tempo de residência no município (até 4 anos),58,1,"{0: 'Menos de 1 ano', 1: '1 ano', 2: '2 anos', 3: '3 anos', 4: '4 anos', 8: 'Sem declaração na faixa', 9: 'Sem declaração no quesito 12'}"
V5123,"Código 4 - na data de referência, tinha de 5 a 9 anos ininterruptos de residência no município",59,1,"{4: 'Sim, de 5 e 9 anos'}"
V5124,Tempo de residência no município (de 5 a 9 anos),60,1,"{0: 'Sem declaração na faixa', 5: '5 anos', 6: '6 anos', 7: '7 anos', 8: '8 anos', 9: '9 anos'}"
V5125,"Código 6 - na data de referência, tinha 10 anos ou mais de residência no município",61,1,"{6: 'Sim, 10 anos ou mais'}"
V0601,Sabe ler e escrever,62,1,"{0: 'Parte ignorada', 1: 'Sim', 3: 'Não', 9: 'Sem declaração'}"
V0602,Freqüenta escola ou creche,63,1,"{2: 'Sim', 4: 'Não', 9: 'Sem declaração'}"
V6002,Rede de ensino,64,1,"{2: 'Pública', 4: 'Particular', 9: 'Sem declaração'}"
V0603,Curso que freqüenta,65,2,"{0: 'Sem declaração', 1: 'Regular de ensino fundamental ou 1º grau', 2: 'Regular de ensino fundamental ou 2º grau', 3: 'Supletivo de ensino fundamental ou 1º grau', 4: 'Supletivo de ensino médio ou 2º grau', 5: 'Superior', 6: 'Alfabetização de adultos', 7: 'Creche', 8: 'Pré-escolar', 9: 'Pré-vestibular', 10: 'Mestrado ou doutorado'}"
V0604,O curso que freqüenta é seriado,67,1,"{2: 'Sim', 4: 'Não', 9: 'Sem declaração'}"
V0605,Série que freqüenta,68,1,"{1: 'Primeira', 2: 'Segunda', 3: 'Terceira', 4: 'Quarta', 5: 'Quinta', 6: 'Sexta', 7: 'Sétima', 8: 'Oitava', 9: 'Sem declaração'}"
V0606,Anteriormente freqüentou escola ou creche,69,1,"{2: 'Sim', 4: 'Não', 9: 'Sem declaração'}"
V0607,Curso mais elevado que freqüentou anteriormente,70,2,"{0: 'Sem declaração', 1: 'Elementar (primário)', 2: 'Médio 1º ciclo (ginasial, etc.)', 3: 'Médio 2º ciclo (científico, clássico, etc.)', 4: 'Ensino fundamental ou 1º grau', 5: 'Ensino médio ou 2º grau', 6: 'Superior', 7: 'Mestrado ou doutorado', 8: 'Alfabetização de adultos', 9: 'Creche', 10: 'Pré-escolar'}"
V0608,Este curso que freqüentou anteriormente era seriado,72,1,"{2: 'Sim', 4: 'Não', 9: 'Sem declaração'}"
V0609,"Concluiu, com aprovação, pelo menos a 1ª série deste curso que freqüentou anteriormente",73,1,"{1: 'Sim', 3: 'Não', 9: 'Sem declaração'}"
V0610,"Última série concluída com aprovação, neste curso que freqüentou anteriormente",74,1,"{1: 'Primeira', 2: 'Segunda', 3: 'Terceira', 4: 'Quarta', 5: 'Quinta', 6: 'Sexta', 7: 'Sétima', 8: 'Oitava', 9: 'Sem declaração'}"
V0611,Concluiu este curso que freqüentou anteriormente,75,1,"{1: 'Sim', 3: 'Não', 9: 'Sem declaração'}"
V1901,Informante desta parte,76,1,"{1: 'A própria pessoa', 3: 'Pessoa não-moradora do domicílio', 5: 'Outra pessoa', 9: 'Sem declaração'}"
V1902,Número de ordem do informante desta parte,77,2,{}
V1903,Situação de escolaridade                    (conforme parte 6),79,1,"{1: 'Frequenta escola ou creche', 3: 'Não frequenta escola ou creche'}"
V1904,Número de horas que permanece normalmente na escola ou creche,80,1,"{2: 'Até 4 horas', 4: 'Mais de 4 até 6 horas', 6: 'Mais de 6 horas'}"
V1905,Deixou de comparecer a escola ou creche pelo menos 1 dia no período de referência de 60 dias,81,1,"{1: 'Sim', 3: 'Não', 9: 'Sem declaração'}"
V1961,Faixa do número de dias que deixou de comparecer a escola ou creche,82,1,"{2: 'de 1 a 5 dias', 4: 'de 6 a 10 dias ', 6: 'de 11 a 20 dias ', 8: 'mais de 20 dias'}"
V1962,Número de dias que deixou de comparecer a escola ou creche,83,2,"{88: 'Sem declaração na faixa', 99: 'Sem declaração no quesito 6'}"
V1977,Principal motivo de ter deixado de comparecer a escola ou creche,85,2,"{1: 'Ajudar nos afazeres domésticos', 2: 'Trabalhar ou procurar trabalho', 3: 'Falta de transporte escolar', 4: 'Falta de dinheiro para as despesas', 5: 'A escola ou creche era distante', 6: 'Não teve quem o (a) levasse', 7: 'Falta de professor ou greve', 8: 'Dificuldade em acompanhar o curso', 9: 'Doença', 10: 'Não quis comparecer', 11: 'Os pais ou responsáveis não quiseram que comparecesse', 12: 'Suspensão (pela direção)', 13: 'Outro motivo', 99: 'Sem declaração'}"
V1908,"Escola ou creche normalmente oferece, gratutitamente,  merenda escolar ou alguma outra refeição",87,1,"{2: 'Sim', 4: 'Não', 9: 'Ignorado'}"
V1909,"Come a merenda escolar ou outro tipo de refeição oferecida, gratuitamente, pela na escola ou creche ",88,1,"{1: 'Sim', 3: 'Não', 9: 'Ignorado'}"
V1970, Principal motivo de não freqüentar escola ou creche ,89,2,"{1: 'Ajudar nos afazeres domésticos', 2: 'Trabalhar ou procurar trabalho', 3: 'Falta de transporte escolar', 4: 'Falta de dinheiro para as despesas escolares', 5: 'Falta de documentação', 6: 'Não existe escola ou creche perto de casa', 7: 'Falta de vaga na escola ou creche', 8: 'Concluiu a série ou curso desejado', 9: 'Não tem quem o(a) leve', 10: 'Doença ou incapacidade', 11: 'Não quis frequentar escola ou creche', 12: 'Expulsão da escola ou creche que frequentava', 13: 'A escola ou creche perto de casa não oferece outras séries ou curso mais elevado', 14: 'Os pais ou responsáveis não querem que frequente', 15: 'Os pais ou responsáveis preferem que trabalhe', 16: 'Outro motivo', 99: 'Sem declaração'}"
V1911,Freqüentou escola ou creche no ano de 2005,91,1,"{1: 'Sim', 3: 'Não', 9: 'Ignorado'}"
V1912,Foi  aprovado na última série que freqüentou em 2005,92,1,"{2: 'Sim', 4: 'Não', 9: 'Ignorado'}"
V0701,Teve algum trabalho no período de referência de 365 dias,93,1,"{0: 'Parte ignorada', 1: 'Sim', 3: 'Não'}"
V0702,"Exerceu tarefas em cultivo, pesca ou criação de animais, destinados à própria alimentação das pessoas moradoras no domicílio, no período de referência de 365 dias",94,1,"{2: 'Sim', 4: 'Não'}"
V0703,"Exerceu tarefas em construção de prédio, cômodo, poço ou outras obras de construção, destinadas ao próprio uso das pessoas moradoras no domicílio, no período de referência de 365 dias",95,1,"{1: 'Sim', 3: 'Não'}"
V0704,Trabalhou na semana de referência,96,1,"{2: 'Sim', 4: 'Não'}"
V0705,Esteve afastado temporariamente do trabalho remunerado que tinha na semana de referência,97,1,"{1: 'Sim', 3: 'Não'}"
V7060,Código da ocupação no trabalho do período de captação de 358 dias,98,4,{}
V7070,Código da atividade principal do empreendimento no trabalho do período de captação de 358 dias,102,5,{}
V0708,Posição na ocupação no trabalho do período de captação de 358 dias,107,1,"{1: 'Empregado ', 2: 'Trabalhador doméstico', 3: 'Conta própria', 4: 'Empregador', 5: 'Trabalhador não-remunerado de membro da unidade domiciliar', 6: 'Outro trabalhador não-remunerado', 7: 'Trabalhador na produção para o próprio consumo', 8: 'Trabalhador na construção para o próprio uso', 9: 'Sem declaração'}"
V7090,Código da ocupação no trabalho da semana de referência,108,4,{}
V7100,Código da atividade principal do empreendimento no trabalho da semana de referência,112,5,{}
V0711,Posição na ocupação no trabalho da semana de referência,117,1,"{1: 'Empregado', 2: 'Trabalhador doméstico', 3: 'Conta própria', 4: 'Empregador', 5: 'Trabalhador não-remunerado de membro da unidade domiciliar', 6: 'Outro trabalhador não-remunerado', 7: 'Trabalhador na produção para o próprio consumo', 8: 'Trabalhador na construção para o próprio uso', 9: 'Sem declaração'}"
V7121,Código 2 - recebia normalmente rendimento mensal em dinheiro no mês de referência no(s) trabalho(s) da semana de referência,118,1,{2: 'Existia rendimento em dinheiro'}
V7122,Rendimento mensal em dinheiro que recebia normalmente no mês de referência no(s) trabalho(s) da semana de referência,119,12,{}
V7123,Classe de rendimento em dinheiro que recebia normalmente no mês de referência no(s) trabalho(s) da semana de referência,131,1,"{1: 'Até ½ salário', 2: 'Mais de ½ até 1 salário', 3: 'Mais de 1 até 2 salários', 4: 'Mais de 2 até 3 salários', 5: 'Mais de 3 até 5 salários', 6: 'Mais de 5 até 10 salários', 7: 'Mais de 10 até 20 salários', 8: 'Mais de 20 salários', 9: 'Sem declaração', 0: 'Prejuízo'}"
V7124,Código 4 - recebia normalmente rendimento mensal em produtos ou mercadorias no mês de referência no(s) trabalho(s) da semana de referência,132,1,{4: 'Existia rendimento em produtos ou mercadorias'}
V7125,Rendimento mensal em valor dos produtos ou mercadorias que recebia normalmente no mês de referência no(s) trabalho(s) da semana de referência,133,12,{}
V7126,Classe de rendimento em valor de produtos e mercadorias que recebia normalmente no mês de referência no(s) trabalho(s) da semana de referência,145,1,"{1: 'Até ½ salário', 2: 'Mais de ½ até 1 salário', 3: 'Mais de 1 até 2 salários', 4: 'Mais de 2 até 3 salários', 5: 'Mais de 3 até 5 salários', 6: 'Mais de 5 até 10 salários', 7: 'Mais de 10 até 20 salários', 8: 'Mais de 20 salários', 9: 'Sem declaração', 0: 'Prejuízo'}"
V7127,Código 6 - recebia normalmente rendimento mensal somente em benefícios no mês de referência no(s) trabalho(s) da semana de referência,146,1,{6: 'Existia rendimento somente em benefícios'}
V7128,Código 8 - era trabalhador não-remunerado no(s) trabalho(s) da semana de referência,147,1,{8: 'Não-remunerado'}
V0713,Número de horas habitualmente trabalhadas por semana no(s) trabalho(s) da semana de referência,148,2,{99: 'Sem declaração'}
V0714,Cuidava dos afazeres domésticos na semana de referência,150,1,"{2: 'Sim', 4: 'Não', 9: 'Sem declaração'}"
V0715,Número de horas que dedicava normalmente por semana aos afazeres domésticos,151,2,{99: 'Sem declaração'}
V9001,Trabalhou na semana de referência,153,1,"{0: 'Parte ignorada ', 1: 'Sim', 3: 'Não'}"
V9002,Esteve afastado temporariamente do trabalho remunerado que tinha na semana de referência,154,1,"{2: 'Sim ', 4: 'Não'}"
V9003,"Exerceu tarefas em cultivo, pesca ou criação de animais, destinados à própria alimentação das pessoas moradoras no domicílio, na semana de referência",155,1,"{1: 'Sim ', 3: 'Não'}"
V9004,"Exerceu tarefas em construção de prédio, cômodo, poço ou outras obras de construção, destinadas ao próprio uso das pessoas moradoras no domicílio, na semana de referência",156,1,"{2: 'Sim ', 4: 'Não'}"
V9005,Número de trabalhos que tinha na semana de referência,157,1,"{1: 'Um', 3: 'Dois', 5: 'Três ou mais'}"
V9906,Código da ocupação no trabalho principal da semana de referência,158,4,{}
V9907,Código da atividade principal do empreendimento no trabalho principal da semana de referência,162,5,{}
V9008,Posição na ocupação no trabalho principal da semana de referência,167,2,"{1: 'Empregado permanente nos serviços auxiliares', 2: 'Empregado permanente na agricultura, silvicultura, ou criação de bovinos, bubalinos, caprinos, ovinos ou suínos', 3: 'Empregado permanente em outra atividade', 4: 'Empregado temporário', 5: 'Conta própria nos serviços auxiliares', 6: 'Conta própria na agricultura, silvicultura ou criação de bovinos, bubalinos, caprinos, ovinos ou suínos', 7: 'Conta própria em outra atividade', 8: 'Empregador nos serviços auxiliares', 9: 'Empregador na agricultura, silvicultura ou criação de bovinos, bubalinos, caprinos, ovinos ou suínos', 10: 'Empregador em outra atividade', 11: 'Trabalhador não-remunerado de membro da unidade domiciliar', 12: 'Outro trabalhador não-remunerado', 13: 'Trabalhador na produção para o próprio consumo', 99: 'Sem declaração'}"
V9009,Recebia do empregador alguma área para produção particular,169,1,"{1: 'Sim', 3: 'Não', 9: 'Sem declaração'}"
V9010,Tinha parceria com o empregador,170,1,"{2: 'Sim', 4: 'Não', 9: 'Sem declaração'}"
V9011,Foi contratado somente por pessoa(s) responsável(véis) pelo(s) estabelecimento(s) em que trabalhou como empregado temporário no mês de referência,171,1,"{1: 'Sim', 3: 'Não', 9: 'Sem declaração'}"
V9012,"Foi contratado como empregado temporário, somente por intermediário (empresa empreiteira, empreiteiro, “gato” etc.) no mês de referência",172,1,"{2: 'Sim', 4: 'Não', 9: 'Sem declaração'}"
V9013,Teve ajuda de trabalhador não-remunerado membro da unidade domiciliar no mês de referência,173,1,"{1: 'Sim', 3: 'Não', 9: 'Sem declaração'}"
V9014,"Número de trabalhadores não-remunerados membros da unidade domiciliar, independentemente da idade, que ajudaram à pessoa que era empregado no mês de referência",174,1,"{0: 'Onze ou mais', 2: 'Um', 4: 'Dois', 6: 'Três a cinco', 8: 'Seis a dez', 9: 'Sem declaração'}"
V9151,Código 1 - referente à 1ª parcela ou parcela única do empreendimento,175,1,{1: 'Existia 1ª parcela ou parcela única do empreendimento'}
V9152,Área informada na 1ª parcela ou parcela única do empreendimento,176,11,{}
V9153,Número de algarismos usados em V9152,187,2,{}
V9154,"Equivalência em m², referente à unidade de medida de superfície em V9152",189,7,{}
V9155,Número de algarismos usados em V9154,196,1,{}
V9156,Código 3 - referente à 2ª parcela do empreendimento,197,1,{3: 'Existia 2ª parcela do empreendimento'}
V9157,Área informada na 2ª parcela do empreendimento,198,11,{}
V9158,Número de algarismos usados em V9157,209,2,{}
V9159,"Equivalência em m², referente à unidade de medida de superfície em V9157",211,7,{}
V9160,Número de algarismos usados em V9159,218,1,{}
V9161,Código 5 - referente à 3ª parcela do empreendimento,219,1,{5: 'Existia 3ª parcela do empreendimento'}
V9162,Área informada na 3ª parcela do empreendimento,220,11,{}
V9163,Número de algarismos usados em V9162,231,2,{}
V9164,"Equivalência em m², referente à unidade de medida de superfície em V9162",233,7,{}
V9165,Número de algarismos usados em V9164,240,1,{}
V9016,"Tinha pelo menos um empregado temporário, no mês de referência, no trabalho principal da semana de referência",241,1,"{2: 'Sim', 4: 'Não', 9: 'Sem declaração'}"
V9017,"Número de empregados temporários, no mês de referência, no trabalho principal da semana de referência",242,1,"{1: 'Um', 3: 'Dois', 5: 'Três a cinco', 7: 'Seis a dez', 8: 'Onze ou mais', 9: 'Sem declaração'}"
V9018,"Tinha pelo menos um empregado permanente, no mês de referência, no trabalho principal da semana de referência",243,1,"{2: 'Sim', 4: 'Não', 9: 'Sem declaração'}"
V9019,"Número de empregados permanentes, no mês de referência, no trabalho principal da semana de referência",244,1,"{1: 'Um', 3: 'Dois', 5: 'Três a cinco', 7: 'Seis a dez', 8: 'Onze ou mais', 9: 'Sem declaração'}"
V9201,Código 2 - referente à 1ª parcela ou parcela única do empreendimento,245,1,{2: 'Existia 1ª parcela ou parcela única do empreendimento.'}
V9202,Área informada na 1ª parcela ou parcela única do empreendimento,246,11,{}
V9203,Número de algarismos usados em V9202,257,2,{}
V9204,"Equivalência em m², referente à unidade de medida de superfície em V9202",259,7,{}
V9205,Número de algarismos usados em V9204,266,1,{}
V9206,Código 4 - referente à 2ª parcela do empreendimento,267,1,{4: 'Existia 2ª parcela do empreendimento'}
V9207,Área informada na 2ª parcela do empreendimento,268,11,{}
V9208,Número de algarismos usados em V9207,279,2,{}
V9209,"Equivalência em m², referente à unidade de medida de superfície em V9207",281,7,{}
V9210,Número de algarismos usados em V9209,288,1,{}
V9211,Código 6 - referente à 3ª parcela do empreendimento,289,1,{6: 'Existia 3ª parcela do empreendimento.'}
V9212,Área informada na 3ª parcela do empreendimento,290,11,{}
V9213,Número de algarismos usados em V9212,301,2,{}
V9214,"Equivalência em m², referente à unidade de medida de superfície em V9212",303,7,{}
V9215,Número de algarismos usados em V9214,310,1,{}
V9021,Condição em relação ao empreendimento do grupamento agrícola,311,1,"{1: 'Parceiro', 2: 'Arrendatário', 3: 'Posseiro', 4: 'Cessionário', 5: 'Proprietário', 6: 'Outra condição', 9: 'Sem declaração'}"
V9022,"Parceria contratada pelo uso do bem, móvel ou imóvel, utilizado para o empreendimento",312,1,"{0: 'Outra', 2: 'Meia', 4: 'Terça', 6: 'Quarta', 8: 'Quinta', 9: 'Sem declaração'}"
V9023,"Forma contratada de pagamento pelo uso do bem, móvel ou imóvel, arrendado para o empreendimento",313,1,"{1: 'Somente dinheiro', 2: 'Somente produto', 3: 'Somente serviço', 4: 'Dinheiro e produto', 5: 'Dinheiro e serviço', 6: 'Produto e serviço', 7: 'Dinheiro, produto e serviço', 9: 'Sem declaração'}"
V9024,"Assumiu, previamente, o compromisso de vender uma parte da produção principal do empreendimento no período de referência de 365 dias",314,1,"{2: 'Sim', 4: 'Não', 9: 'Sem declaração'}"
V9025,Vendeu alguma parte da produção principal do empreendimento no período de referência de 365 dias,315,1,"{1: 'Sim', 3: 'Não', 9: 'Sem declaração'}"
V9026,"Comprador que adquiriu a totalidade, ou a maior parte, da produção principal do empreendimento que foi vendida no período de referência de 365 dias.",316,1,"{1: 'Empresa', 2: 'Cooperativa', 3: 'Governo', 4: 'Proprietário do bem utilizado para o empreendimento', 5: 'Intermediário particular', 6: 'Consumidor direto', 7: 'Outro comprador', 9: 'Sem declaração'}"
V9027,Algum tipo de produção desenvolvida no empreendimento foi consumida como alimentação pelos membros da unidade domiciliar no mês de referência,317,1,"{1: 'Sim', 3: 'Não', 9: 'Sem declaração'}"
V9028,"Parcela da alimentação consumida pelos membros da unidade domiciliar, no mês de referência, que foi retirada de produção desenvolvida no empreendimento",318,1,"{2: 'Até a metade', 4: 'Mais da metade', 9: 'Sem declaração'}"
V9029,Posição na ocupação no trabalho principal da semana de referência,319,1,"{1: 'Empregado', 2: 'Trabalhador doméstico', 3: 'Conta própria', 4: 'Empregador', 5: 'Trabalhador não-remunerado de membro da unidade domiciliar', 6: 'Outro trabalhador não-remunerado', 7: 'Trabalhador na construção para o próprio uso', 9: 'Sem declaração'}"
V9030,A jornada normal desse trabalho estava totalmente compreendida no período de 5 horas da manhã às 10 horas da noite,320,1,"{2: 'Sim', 4: 'Não', 9: 'Sem declaração'}"
V9031,A jornada normal desse trabalho estava totalmente compreendida no período noturno de 10 horas da noite às 5 horas da manhã seguinte,321,1,"{1: 'Sim', 3: 'Não', 9: 'Sem declaração'}"
V9032,Setor do emprego no trabalho principal da semana de referência,322,1,"{2: 'Privado', 4: 'Público', 9: 'Sem declaração'}"
V9033,Área do emprego no trabalho principal da semana de referência,323,1,"{1: 'Federal', 3: 'Estadual', 5: 'Municipal', 9: 'Sem declaração'}"
V9034,"Era militar do Exército, Marinha de Guerra ou Aeronáutica no trabalho principal da semana de referência",324,1,"{2: 'Sim', 4: 'Não', 9: 'Sem declaração'}"
V9035,Era funcionário público estatutário no trabalho principal da semana de referência,325,1,"{1: 'Sim', 3: 'Não', 9: 'Sem declaração'}"
V9036,"Prestava serviço doméstico remunerado em mais de um domicílio, no mês de referência",326,1,"{2: 'Sim', 4: 'Não', 9: 'Sem declaração'}"
V9037,Exercia habitualmente esse trabalho pelo menos uma vez por semana,327,1,"{1: 'Sim', 3: 'Não', 9: 'Sem declaração'}"
V9038,"Número de dias por semana que, habitualmente, prestava serviço doméstico remunerado",328,1,{9: 'Sem declaração'}
V9039,"Número de dias por mês que, habitualmente, prestava serviço doméstico remunerado",329,1,{9: 'Sem declaração'}
V9040,"Número de pessoas ocupadas, no mês de referência, no empreendimento do trabalho principal da semana de referência",330,1,"{2: 'Duas', 4: 'Três a cinco', 6: 'Seis a dez', 8: 'Onze ou mais', 9: 'Sem declaração'}"
V9041,"Forma contratada, verbalmente ou por escrito, para o cálculo da remuneração no trabalho principal da semana de referência",331,1,"{1: 'Somente por jornada de trabalho', 3: 'Somente por produção ou comissão', 5: 'Somente por tarefa ou empreitada', 7: 'Por jornada de trabalho e produção ou comissão', 8: 'Outra forma', 9: 'Sem declaração'}"
V9042,Tinha carteira de trabalho assinada no trabalho principal da semana de referência ,332,1,"{2: 'Sim', 4: 'Não', 9: 'Sem declaração'}"
V9043,Recebeu auxílio para moradia no mês de referência,333,1,"{1: 'Sim', 3: 'Não', 9: 'Sem declaração'}"
V9044,Recebeu auxílio para alimentação no mês de referência,334,1,"{2: 'Sim', 4: 'Não', 9: 'Sem declaração'}"
V9045,Recebeu auxílio para transporte no mês de referência,335,1,"{1: 'Sim', 3: 'Não', 9: 'Sem declaração'}"
V9046,Recebeu auxílio para educação ou creche no mês de referência,336,1,"{2: 'Sim', 4: 'Não', 9: 'Sem declaração'}"
V9047,Recebeu auxílio para saúde ou reabilitação no mês de referência,337,1,"{1: 'Sim', 3: 'Não', 9: 'Sem declaração'}"
V9048,"Número de empregados, no mês de referência, no empreendimento do trabalho principal da semana de referência",338,1,"{0: 'Onze ou mais', 2: 'Um', 4: 'Dois', 6: 'Três a cinco', 8: 'Seis a dez', 9: 'Sem declaração'}"
V9049,"Tinha pelo menos um sócio ocupado, no mês de referência, no empreendimento do trabalho principal da semana de referência",339,1,"{1: 'Sim', 3: 'Não', 9: 'Sem declaração'}"
V9050,"Número de sócios ocupados, no mês de referência, no empreendimento do trabalho principal da semana de referência",340,1,"{2: 'Um', 4: 'Dois', 6: 'Três a cinco', 8: 'Seis ou mais', 9: 'Sem declaração'}"
V9051,"Tinha pelo menos um trabalhador não-remunerado, no mês de referência, no trabalho principal da semana de referência",341,1,"{1: 'Sim', 3: 'Não', 9: 'Sem declaração'}"
V9052,"Número de trabalhadores não-remunerados ocupados, no mês de referência, no trabalho principal da semana de referência",342,1,"{0: 'Onze ou mais', 2: 'Um', 4: 'Dois', 6: 'Três a cinco', 8: 'Seis a dez', 9: 'Sem declaração'}"
V9531,"Código 1 - recebia normalmente rendimento mensal em dinheiro, no mês de referência, no trabalho principal da semana de referência",343,1,{1: 'Existia rendimento em dinheiro'}
V9532,"Rendimento mensal em dinheiro que recebia normalmente, no mês de referência, no trabalho principal da semana de referência",344,12,{}
V9533,"Classe de valores de rendimento em dinheiro que recebia normalmente, no mês de referência, no trabalho principal da semana de referência",356,1,"{1: 'Até ½ salário', 2: 'Mais de ½ até 1 salário', 3: 'Mais de 1 até 2 salários', 4: 'Mais de 2 até 3 salários', 5: 'Mais de 3 até 5 salários', 6: 'Mais de 5 até 10 salários', 7: 'Mais de 10 até 20 salários', 8: 'Mais de 20 salários', 9: 'Sem declaração', 0: 'Prejuízo'}"
V9534,"Código 3 - recebia normalmente rendimento mensal em produtos ou mercadorias, no mês de referência, no trabalho principal da semana de referência",357,1,{3: 'Existia rendimento em produtos ou mercadorias'}
V9535,"Rendimento mensal em valor dos produtos ou mercadorias que recebia normalmente, no mês de referência, no trabalho principal da semana de referência",358,12,{}
