VARI,NOME,DESDE,TAM,CODI,S,F,C,CATEG,RENO,TE,categorias_dict,quesito
V103,NÚMERO DE SÉRIE,7,3,,Z,N,,,,,{},NÚMERO DE SÉRIE
V10,UNIDADE DA FEDERAÇÃO,10,2,,Z,N,,44,,,"{'11': 'RJ', '12': 'RJ', '13': 'RJ', '14': 'RJ', '20': 'SP', '21': 'SP', '22': 'SP', '23': 'SP', '24': 'SP', '25': 'SP', '26': 'SP', '27': 'SP', '28': 'SP', '29': 'SP', '30': 'PR', '31': 'PR', '32': 'SC', '33': 'RS', '34': 'RS', '35': 'RS', '37': 'PR', '41': 'MG', '42': 'MG', '43': 'ES', '51': 'MA', '52': 'PI', '53': 'CE', '54': 'RN', '55': 'PB', '56': 'PE', '57': 'AL', '58': 'SE', '59': 'BA', '60': 'BA', '61': 'DF', '71': 'RO', '72': 'AC', '73': 'AM', '74': 'RR', '75': 'PA', '76': 'AP', '81': 'MS', '82': 'MT', '83': 'GO'}",UNIDADE DA FEDERAÇÃO
V3,SITUAÇÃO,12,1,,,N,,4,,,"{'1': 'URBANA', '5': 'RURAL', '7': 'CONGLOMERADO RURA'}",SITUAÇÃO
V5,TIPO DE ÁREA,13,1,,,N,,3,,,"{'1': 'METROPOLITANA', '2': 'AUTO REPRES.', '3': 'NÃO AUTO REP.'}",TIPO DE ÁREA
V1080,PESO DOMICÍLIO CENSO 80,14,4,,,N,,,,,{},PESO DOMICÍLIO CENSO 80
V3080,PESO PESSOA CENSO 80,14,4,,,N,,,,,{},PESO PESSOA CENSO 80
V1091,PESO DOMICÍLIO CENSO 91,18,4,,,N,,,,,{},PESO DOMICÍLIO CENSO 91
V3091,PESO PESSOA CENSO 91,18,4,,,N,,,,,{},PESO PESSOA CENSO 91
V100,TIPO DE REGISTRO,22,1,,,N,,2,,,"{'1': 'DOMICÍLIOS', '3': 'PESSOAS'}",TIPO DE REGISTRO
V107,TOTAL DE PESSOAS,23,2,,,N,,31,,,"{'1': '1 PESSOA', '2': '2 PESSOAS', '3': '3 PESSOAS', '4': '4 PESSOAS', '5': '5 PESSOAS', '6': '6 PESSOAS', '7': '7 PESSOAS', '8': '8 PESSOAS', '9': '9 PESSOAS', '10': '10 PESSOAS', '11': '11 PESSOAS', '12': '12 PESSOAS', '13': '13 PESSOAS', '14': '14 PESSOAS', '15': '15 PESSOAS', '16': '16 PESSOAS', '17': '17 PESSOAS', '18': '18 PESSOAS', '19': '19 PESSOAS', '20': '20 PESSOAS', '21': '21 PESSOAS', '22': '22 PESSOAS', '23': '23 PESSOAS', '24': '24 PESSOAS', '25': '25 PESSOAS', '26': '26 PESSOAS', '27': '27 PESSOAS', '28': '28 PESSOAS', '29': '29 PESSOAS', '30': '30 PESSOAS'}",TOTAL DE PESSOAS
V108,TOTAL DE 10 ANOS E MAIS,25,2,,,N,,25,,,"{'1': '1 PESSOA', '2': '2 PESSOAS', '3': '3 PESSOAS', '4': '4 PESSOAS', '5': '5 PESSOAS', '6': '6 PESSOAS', '7': '7 PESSOAS', '8': '8 PESSOAS', '9': '9 PESSOAS', '10': '10 PESSOAS', '11': '11 PESSOAS', '12': '12 PESSOAS', '13': '13 PESSOAS', '14': '14 PESSOAS', '15': '15 PESSOAS', '16': '16 PESSOAS', '17': '17 PESSOAS', '18': '18 PESSOAS', '19': '19 PESSOAS', '20': '20 PESSOAS', '21': '21 PESSOAS', '22': '22 PESSOAS', '23': '23 PESSOAS', '24': '24 PESSOAS'}",TOTAL DE 10 ANOS E MAIS
V201,ESPÉCIE DO DOMICÍLIO,27,1,,,N,,4,,,"{'2': 'PARTICULAR PERM.', '4': 'PARTICULAR IMPR.', '6': 'COLETIVO'}",ESPÉCIE DO DOMICÍLIO
V202,TIPO DE DOMICÍLIO,28,1,,,N,,6,,,"{'1': 'CASA', '3': 'APARTAMENTO', '5': 'RÚSTICO', '7': 'QUARTO/COMODO', '9': 'SEM DECLARAÇÃO'}",TIPO DE DOMICÍLIO
V203,PAREDE,29,1,,,N,,7,,,"{'0': 'ALVENARIA', '2': 'MADEIRA APARELH.', '4': 'TAIPA N.REVESTID', '6': 'MADEIRA APROVEIT', '8': 'OUTRA', '9': 'SEM DECLARAÇÃO'}",PAREDE
V204,PISO,30,1,,,N,,8,,,"{'1': 'MADEIRA APARELH.', '3': 'CIMENTO', '5': 'CERÂMICA', '6': 'TERRA', '7': 'MADEIRA APROVEIT', '8': 'OUTRO', '9': 'SEM DECLARAÇÃO'}",PISO
V205,COBERTURA,31,1,,,N,,8,,,"{'0': 'LAJE DE CONCRETO', '2': 'TELHA DE BARRO', '4': 'ZINCO', '6': 'MADEIRA APARELH.', '7': 'MADEIRA APROVEIT', '8': 'OUTRA', '9': 'SEM DECLARAÇÃO'}",COBERTURA
V206,ABASTECIMENTO DE AGUA,32,1,,,N,,8,,,"{'1': 'REDE GERAL CCI', '2': 'POÇO/NASC  CCI', '3': 'OUTRA      CCI', '4': 'REDE GERAL SCI', '5': 'POÇO/NASC  SCI', '6': 'OUTRA      SCI', '9': 'SEM DECLARAÇÃO'}",ABASTECIMENTO DE AGUA
V207,ESGOTAMENTO SANITÁRIO,33,1,,,N,,7,,,"{'0': 'REDE GERAL', '2': 'FOSSA SÉPTICA', '4': 'FOSSA RUDIMENTAR', '6': 'OUTRO', '8': 'NÃO TEM', '9': 'SEM DECLARAÇÃO'}",ESGOTAMENTO SANITÁRIO
V208,USO DA INSTALAÇÃO SANIT.,34,1,,,N,,5,,,"{'1': 'SÓ DO DOMICÍLIO', '3': 'COMUM MAIS DE UM', '5': 'NÃO TEM', '9': 'SEM DECLARAÇÃO'}",USO DA INSTALAÇÃO SANIT.
V209,DESTINO DO LIXO,35,1,,,N,,7,,,"{'0': 'COLETADO', '2': 'QUEIMADO', '4': 'ENTERRADO', '6': 'TERRENO BALDIO', '8': 'OUTRO', '9': 'SEM DECLARAÇÃO'}",DESTINO DO LIXO
V210,ILUMINAÇÃO ELÉTRICA,36,1,,,N,,4,,,"{'1': 'TEM', '3': 'NÃO TEM', '9': 'SEM DECLARAÇÃO'}",ILUMINAÇÃO ELÉTRICA
V211,NÚMERO DE CÔMODOS,37,2,,,N,,32,,,"{'1': '1 CÔMODO', '2': '2 CÔMODOS', '3': '3 CÔMODOS', '4': '4 CÔMODOS', '5': '5 CÔMODOS', '6': '6 CÔMODOS', '7': '7 CÔMODOS', '8': '8 CÔMODOS', '9': '9 CÔMODOS', '10': '10 CÔMODOS', '11': '11 CÔMODOS', '12': '12 CÔMODOS', '13': '13 CÔMODOS', '14': '14 CÔMODOS', '15': '15 CÔMODOS', '16': '16 CÔMODOS', '17': '17 CÔMODOS', '18': '18 CÔMODOS', '19': '19 CÔMODOS', '20': '20 CÔMODOS', '21': '21 CÔMODOS', '22': '22 CÔMODOS', '23': '23 CÔMODOS', '24': '24 CÔMODOS', '25': '25 CÔMODOS', '26': '26 CÔMODOS', '27': '27 CÔMODOS', '28': '28 CÔMODOS', '29': '29 CÔMODOS', '30': '30 CÔMODOS', '99': 'SEM DECLARAÇÃO'}",NÚMERO DE CÔMODOS
V231,SERVINDO DE DORMITÓRIO,39,2,,,N,,17,,,"{'1': '1 DORMITÓRIO', '2': '2 DORMITÓRIOS', '3': '3 DORMITÓRIOS', '4': '4 DORMITÓRIOS', '5': '5 DORMITÓRIOS', '6': '6 DORMITÓRIOS', '7': '7 DORMITÓRIOS', '8': '8 DORMITÓRIOS', '9': '9 DORMITÓRIOS', '10': '10 DORMITÓRIOS', '11': '11 DORMITÓRIOS', '12': '12 DORMITÓRIOS', '13': '13 DORMITÓRIOS', '14': '14 DORMITÓRIOS', '15': '15 DORMITÓRIOS', '99': 'SEM DECLARAÇÃO'}",SERVINDO DE DORMITÓRIO
V212,CONDIÇÃO DE OCUPAÇÃO,41,1,,,N,,7,,,"{'0': 'PRÓPRIO JÁ PAGOU', '2': 'PRÓPRIO NÃO PAGOU', '4': 'ALUGADO', '6': 'CEDIDO', '8': 'OUTRA', '9': 'SEM DECLARAÇÃO'}",CONDIÇÃO DE OCUPAÇÃO
V213,ALUGUEL/PRESTAÇÃO MENSAL,42,9,,,N,,,,,{},ALUGUEL/PRESTAÇÃO MENSAL
V214,FILTRO,51,1,,,N,,4,,,"{'1': 'TEM', '3': 'NÃO TEM', '9': 'SEM DECLARAÇÃO'}",FILTRO
